field_id,subset,phenotype_description,type
20003,1141163094,Medication: dayleve 0.1% cream,binary
20003,1141163114,Medication: modafinil,binary
20003,1141163118,Medication: provigil 100mg tablet,binary
20003,1141163120,Medication: zamadol 100mg/2ml injection,binary
20003,1141163126,Medication: condrotec tablet,binary
20003,1141163138,Medication: aspirin+papaveretum 500mg/7.71mg dispersible tablet,binary
20003,1141163142,Medication: clioquinol product,binary
20003,1141163144,Medication: danlax suspension,binary
20003,1141163146,Medication: beclo-aqua 50 nasal spray,binary
20003,1141163298,Medication: sevredol 10mg/5ml oral solution,binary
20003,1141163324,Medication: ticlopidine,binary
20003,1141163328,Medication: ticlid 250mg tablet,binary
20003,1141163532,Medication: erythroped forte sf 500mg/5ml s/f suspension,binary
20003,1141163654,Medication: povidone,binary
20003,1141163656,Medication: oculotect 5% single-use eye drops,binary
20003,1141163670,Medication: migranal 2mg/0.5ml nasal spray,binary
20003,1141163716,Medication: primacine 125mg/5ml suspension,binary
20003,1141163728,Medication: dinnefords teejel 8.7% oral gel,binary
20003,1141163764,Medication: paracetamol+prometh hcl 120mg/1.5mg/5ml colour free s/f susp,binary
20003,1141163766,Medication: medised colour free s/f suspension,binary
20003,1141163770,Medication: dihydroergotamine,binary
20003,1141163778,Medication: primacine 250mg/5ml suspension,binary
20003,1141163784,Medication: primacine 500mg/5ml suspension,binary
20003,1141163832,Medication: budenofalk 3mg capsule,binary
20003,1141163840,Medication: mistamine 10mg m/r tablet,binary
20003,1141163860,Medication: crystapen 1200mg injection (pdr for recon),binary
20003,1141164036,Medication: maxivent 2.5mg/2.5ml steripoule,binary
20003,1141164044,Medication: isosorbide mononitrate+aspirin,binary
20003,1141164050,Medication: imazin xl 60mg/75mg m/r tablet,binary
20003,1141164060,Medication: pramipexole,binary
20003,1141164068,Medication: mirapexin 0.088mg tablet,binary
20003,1141164086,Medication: salmeterol+fluticasone propionate,binary
20003,1141164148,Medication: imidapril hydrochloride,binary
20003,1141164154,Medication: tanatril 5mg tablet,binary
20003,1141164176,Medication: otradrops adult formula 0.1% nose drops,binary
20003,1141164182,Medication: temozolomide,binary
20003,1141164192,Medication: temodal 5mg capsule,binary
20003,1141164202,Medication: diasorb 2mg capsule,binary
20003,1141164240,Medication: subutex 400micrograms sublingual tablet,binary
20003,1141164246,Medication: subutex 2mg sublingual tablet,binary
20003,1141164248,Medication: subutex 8mg sublingual tablet,binary
20003,1141164254,Medication: fenbid forte 10% gel,binary
20003,1141164260,Medication: emedastine,binary
20003,1141164266,Medication: emadine 0.05% eye drops,binary
20003,1141164276,Medication: nebivolol,binary
20003,1141164280,Medication: nebilet 5mg tablet,binary
20003,1141164592,Medication: fortovase 200mg capsule,binary
20003,1141164598,Medication: differin 0.1% cream,binary
20003,1141164602,Medication: mothers' and children's vitamin drops,binary
20003,1141164616,Medication: protium 20mg e/c tablet,binary
20003,1141164618,Medication: ketil 2.5% gel,binary
20003,1141164652,Medication: unguentum m cream,binary
20003,1141164678,Medication: sangcya 100mg/ml oral solution,binary
20003,1141164696,Medication: burow's solution,binary
20003,1141164746,Medication: dexketoprofen,binary
20003,1141164750,Medication: keral 25mg tablet,binary
20003,1141164754,Medication: zinc+salicylic acid paste half strength,binary
20003,1141164756,Medication: lassar's paste half strength,binary
20003,1141164760,Medication: marevan 0.5mg tablet,binary
20003,1141164788,Medication: angitak 1.25mg spray,binary
20003,1141164828,Medication: adcal-d3 1.5g/10micrograms chewable tablet,binary
20003,1141164834,Medication: klaricid 250mg/5ml paediatric suspension,binary
20003,1141164836,Medication: eucerin 10% cream,binary
20003,1141164872,Medication: sinemet-62.5 tablet,binary
20003,1141164874,Medication: nurofen gel,binary
20003,1141165028,Medication: artelac 0.32% single-use eye drops,binary
20003,1141165244,Medication: rofecoxib,binary
20003,1141165252,Medication: vioxx 12.5mg tablet,binary
20003,1141165254,Medication: vioxx 25mg tablet,binary
20003,1141165312,Medication: vioxx 12.5mg/5ml oral suspension,binary
20003,1141165314,Medication: vioxx 25mg/5ml oral suspension,binary
20003,1141165318,Medication: cetrorelix,binary
20003,1141165324,Medication: cetrotide 0.25mg injection (pdr for recon)+solvent,binary
20003,1141165408,Medication: virazole 6g inhalation (pdr for recon),binary
20003,1141165410,Medication: ancotil 2.5g/250ml intravenous infusion,binary
20003,1141165470,Medication: felodipine+ramipril,binary
20003,1141165476,Medication: triapin mite 2.5mg/2.5mg tablet,binary
20003,1141165502,Medication: paranorm cough syrup,binary
20003,1141165512,Medication: kapake capsule,binary
20003,1141165514,Medication: rebetol 200mg capsule,binary
20003,1141165518,Medication: efavirenz,binary
20003,1141165526,Medication: sustiva 50mg capsule,binary
20003,1141165528,Medication: sustiva 100mg capsule,binary
20003,1141165530,Medication: sustiva 200mg capsule,binary
20003,1141165546,Medication: rebif 12million iu/0.5ml prefilled syringe,binary
20003,1141165548,Medication: physeptone 20mg/2ml injection,binary
20003,1141165550,Medication: physeptone 35mg/3.5ml injection,binary
20003,1141165552,Medication: physeptone 50mg/5ml injection,binary
20003,1141165554,Medication: physeptone 1mg/1ml s/f mixture,binary
20003,1141165556,Medication: physeptone 1mg/1ml mixture,binary
20003,1141165560,Medication: otraspray adult formula 0.1% nasal spray,binary
20003,1141165574,Medication: galprofen 100mg/5ml oral suspension,binary
20003,1141165702,Medication: dextrose 40% oral gel,binary
20003,1141165754,Medication: librofem 200mg tablet,binary
20003,1141165852,Medication: abacavir,binary
20003,1141165858,Medication: ziagen 300mg tablet,binary
20003,1141165860,Medication: ziagen 20mg/ml oral solution,binary
20003,1141165868,Medication: zydol xl 150mg m/r tablet,binary
20003,1141165870,Medication: zydol xl 200mg m/r tablet,binary
20003,1141165876,Medication: zydol xl 300mg m/r tablet,binary
20003,1141165878,Medication: zydol xl 400mg m/r tablet,binary
20003,1141165932,Medication: roferon-a 18million iu/0.6ml cartridge,binary
20003,1141165942,Medication: calcette 500mg chewable tablet,binary
20003,1141166002,Medication: privacom 500mg pessary,binary
20003,1141166006,Medication: telmisartan,binary
20003,1141166086,Medication: rennie duo oral suspension,binary
20003,1141166116,Medication: neutratop 0.75% gel,binary
20003,1141166128,Medication: quinupristin+dalfopristin,binary
20003,1141166132,Medication: synercid infusion (pdr for recon),binary
20003,1141166168,Medication: zanamivir,binary
20003,1141166176,Medication: relenza 5mg/blister disks+diskhaler,binary
20003,1141166188,Medication: zeffix 5mg/1ml oral solution,binary
20003,1141166192,Medication: zeffix 100mg tablet,binary
20003,1141166196,Medication: etonogestrel,binary
20003,1141166200,Medication: implanon 68mg subdermal implant,binary
20003,1141166264,Medication: spasmonal fibre granules 500g,binary
20003,1141166288,Medication: viralief 5% cream,binary
20003,1141166294,Medication: leflunomide,binary
20003,1141166302,Medication: arava 10mg tablet,binary
20003,1141166304,Medication: arava 20mg tablet,binary
20003,1141166306,Medication: arava 100mg tablet,binary
20003,1141166346,Medication: promictuline 2.5mg tablet,binary
20003,1141166354,Medication: testoderm 6mg/24hours transdermal patch,binary
20003,1141166356,Medication: viramune 50mg/5ml oral suspension,binary
20003,1141166366,Medication: ethinyloestradiol+gestodene 20micrograms/75micrograms tablet,binary
20003,1141166368,Medication: femodette tablet,binary
20003,1141166454,Medication: acticin 0.025% cream,binary
20003,1141166472,Medication: brevoxyl 4% cream,binary
20003,1141166498,Medication: lomefloxacin,binary
20003,1141166502,Medication: okacyn 0.3% eye drops,binary
20003,1141166508,Medication: ranitic 150mg tablet,binary
20003,1141166514,Medication: pickles ointment,binary
20003,1141166524,Medication: rimexolone,binary
20003,1141166528,Medication: vexol 1% eye drops,binary
20003,1141166534,Medication: palivizumab,binary
20003,1141166572,Medication: wartex ointment,binary
20003,1141166600,Medication: amidox 100mg tablet,binary
20003,1141166746,Medication: capsaicin 0.025% cream,binary
20003,1141166748,Medication: zacin 0.025% cream,binary
20003,1141166752,Medication: coroday mr 20mg m/r tablet,binary
20003,1141166768,Medication: lamivudine+zidovudine,binary
20003,1141166772,Medication: combivir tablet,binary
20003,1141166848,Medication: dexa-rhinaspray duo aqueous nasal spray,binary
20003,1141166858,Medication: chemydur 60xl m/r tablet,binary
20003,1141166864,Medication: introna 25million iu/2.5ml injection solution,binary
20003,1141166866,Medication: virasorb cold sore 5% cream,binary
20003,1141166884,Medication: famvir 500mg tablet,binary
20003,1141166888,Medication: cysteamine,binary
20003,1141166892,Medication: cystagon 50mg capsule,binary
20003,1141166930,Medication: claforan 1g infusion (pdr for recon) vial with connector,binary
20003,1141166932,Medication: claforan 2g infusion (pdr for recon) vial with connector,binary
20003,1141166956,Medication: eryacne 2 topical gel,binary
20003,1141166960,Medication: eryacne 4 topical gel,binary
20003,1141166998,Medication: imodium plus 2mg/125mg chewable tablet,binary
20003,1141167014,Medication: nevirapine,binary
20003,1141167020,Medication: viramune 200mg tablet,binary
20003,1141167026,Medication: caspac xl 162.5mg m/r capsule,binary
20003,1141167038,Medication: rozex 0.75% cream,binary
20003,1141167096,Medication: loperamide hydrochloride+simethicone,binary
20003,1141167108,Medication: froop co 5mg/40mg tablet,binary
20003,1141167120,Medication: tramake insts 50mg/sachet powder,binary
20003,1141167122,Medication: tramake insts 100mg/sachet powder,binary
20003,1141167140,Medication: exorex lotion,binary
20003,1141167174,Medication: tramazoline hydrochloride+dexamethasone isonicotinate,binary
20003,1141167178,Medication: efamast 40 capsule,binary
20003,1141167206,Medication: oestrogel 0.06% gel,binary
20003,1141167252,Medication: pinadone 1mg/1ml mixture,binary
20003,1141167254,Medication: pinadone 1mg/1ml s/f mixture,binary
20003,1141167308,Medication: phosex 1g tablet,binary
20003,1141167334,Medication: colofac-100 tablet,binary
20003,1141167400,Medication: docusol 12.5mg/5ml paediatric solution,binary
20003,1141167418,Medication: rantec 150mg tablet,binary
20003,1141167426,Medication: rheumatac retard 75mg m/r tablet,binary
20003,1141167430,Medication: lanreotide,binary
20003,1141167490,Medication: somatuline la 30mg injection (pdr)+diluent+syringe,binary
20003,1141167508,Medication: cidomycin 0.3% ointment,binary
20003,1141167594,Medication: qvar 50 inhaler,binary
20003,1141167608,Medication: achromycin 3% ointment,binary
20003,1141167610,Medication: cidomycin 0.3% cream,binary
20003,1141167618,Medication: rebif 6million iu/0.5ml prefilled syringe,binary
20003,1141167624,Medication: nelfinavir,binary
20003,1141167632,Medication: viracept 250mg tablet,binary
20003,1141167634,Medication: viracept 50mg/1g oral powder,binary
20003,1141167678,Medication: pharmaton capsule,binary
20003,1141167690,Medication: rivastigmine,binary
20003,1141167700,Medication: exelon 1.5mg capsule,binary
20003,1141167708,Medication: beclomist 50micrograms nasal spray,binary
20003,1141167744,Medication: neoral 10mg capsule,binary
20003,1141167748,Medication: solpadeine max tablet,binary
20003,1141167758,Medication: hyteneze 12.5 tablet,binary
20003,1141167814,Medication: imiquimod,binary
20003,1141167822,Medication: tensopril 12.5mg tablet,binary
20003,1141167832,Medication: zemtard 120 xl m/r capsule,binary
20003,1141167844,Medication: dipyridamole+aspirin,binary
20003,1141167848,Medication: asasantin retard m/r capsule,binary
20003,1141167860,Medication: teril cr 200mg m/r tablet,binary
20003,1141167876,Medication: aldara 5% cream,binary
20003,1141167932,Medication: rizatriptan,binary
20003,1141167940,Medication: maxalt 5mg tablet,binary
20003,1141167976,Medication: zyprexa 2.5mg tablet,binary
20003,1141167982,Medication: mil-par suspension,binary
20003,1141167990,Medication: oilatum fragrance free liquid bath additive,binary
20003,1141168108,Medication: isotard 25xl m/r tablet,binary
20003,1141168116,Medication: refresh 1.4% ophthalmic solution,binary
20003,1141168122,Medication: solpadol capsule,binary
20003,1141168270,Medication: cefprozil,binary
20003,1141168318,Medication: clopidogrel,binary
20003,1141168322,Medication: plavix 75mg tablet,binary
20003,1141168324,Medication: oestradiol+norethisterone acetate 1mg/0.5mg tablet,binary
20003,1141168326,Medication: kliovance 1mg/0.5mg tablet,binary
20003,1141168330,Medication: cefzil 250mg tablet,binary
20003,1141168332,Medication: cefzil 500mg tablet,binary
20003,1141168334,Medication: cefzil 250mg/5ml oral suspension,binary
20003,1141168340,Medication: zafirlukast,binary
20003,1141168344,Medication: accolate 20mg tablet,binary
20003,1141168372,Medication: zithromax 500mg tablet,binary
20003,1141168374,Medication: dermol 200 shower emollient,binary
20003,1141168396,Medication: doxepin hydrochloride 5% cream,binary
20003,1141168398,Medication: xepin 5% cream,binary
20003,1141168436,Medication: tiagabine,binary
20003,1141168444,Medication: gabitril 5mg tablet,binary
20003,1141168498,Medication: eucardic 3.125 tablet,binary
20003,1141168554,Medication: migraleve tablet,binary
20003,1141168560,Medication: alvedon 250mg suppository,binary
20003,1141168562,Medication: alvedon 60mg suppository,binary
20003,1141168568,Medication: bezagen xl 400mg m/r tablet,binary
20003,1141168574,Medication: raloxifene hydrochloride,binary
20003,1141168578,Medication: evista 60mg tablet,binary
20003,1141168584,Medication: rabeprazole sodium,binary
20003,1141168590,Medication: pariet 10mg e/c tablet,binary
20003,1141168646,Medication: panadol extra tablet,binary
20003,1141168648,Medication: solpadeine tablet,binary
20003,1141168650,Medication: solpadeine capsule,binary
20003,1141168652,Medication: ketpron xl 100mg m/r capsule,binary
20003,1141168660,Medication: repaglinide,binary
20003,1141168668,Medication: novonorm 0.5mg tablet,binary
20003,1141168680,Medication: orlistat,binary
20003,1141168684,Medication: xenical 120mg capsule,binary
20003,1141168692,Medication: bazuka extra strength gel,binary
20003,1141168702,Medication: mobic 7.5mg suppository,binary
20003,1141168714,Medication: propiverine hydrochloride,binary
20003,1141168718,Medication: detrunorm 15mg tablet,binary
20003,1141168752,Medication: peptac liquid,binary
20003,1141168788,Medication: folicare 400micrograms/5ml s/f oral solution,binary
20003,1141168794,Medication: kapake insts 500mg/30mg/sachet powder,binary
20003,1141168814,Medication: lithium succinate 8% cream,binary
20003,1141168816,Medication: efalith 8% cream,binary
20003,1141168822,Medication: clarithromy tab+lansoprazole cap+amoxy cap 500/30/500mg pack,binary
20003,1141168824,Medication: heliclear triple pack,binary
20003,1141168848,Medication: rinstead contact pastille,binary
20003,1141168936,Medication: sildenafil,binary
20003,1141168944,Medication: viagra 25mg tablet,binary
20003,1141168946,Medication: viagra 50mg tablet,binary
20003,1141168948,Medication: viagra 100mg tablet,binary
20003,1141168964,Medication: betinex 1mg tablet,binary
20003,1141169026,Medication: paracetamol+diphenhydramine hcl 120/12.5mg/5ml s/f oral soln,binary
20003,1141169028,Medication: dozol sugar free syrup,binary
20003,1141169088,Medication: frusol 20mg/5ml s/f oral solution,binary
20003,1141169096,Medication: ethimil mr 240 m/r tablet,binary
20003,1141169210,Medication: mandanol 500mg tablet,binary
20003,1141169416,Medication: nicef 250mg capsule,binary
20003,1141169418,Medication: nicef 500mg capsule,binary
20003,1141169472,Medication: ibumousse 5% foam,binary
20003,1141169498,Medication: combitens m/r capsule,binary
20003,1141169504,Medication: diaglyk 80mg tablet,binary
20003,1141169516,Medication: dorzolamide+timolol,binary
20003,1141169520,Medication: cosopt 2%/0.5% eye drops,binary
20003,1141169526,Medication: piroxicam-beta-cyclodextrin,binary
20003,1141169530,Medication: brexidol 20mg tablet,binary
20003,1141169666,Medication: zelapar 1.25mg tablet,binary
20003,1141169674,Medication: viraferon 25million iu/1ml prefilled pen,binary
20003,1141169692,Medication: kapake insts 1000mg/60mg/sachet powder,binary
20003,1141169694,Medication: difflam sore throat 0.15% oral rinse,binary
20003,1141169700,Medication: entacapone,binary
20003,1141169704,Medication: comtess 200mg tablet,binary
20003,1141169710,Medication: vertab sr 240 m/r tablet,binary
20003,1141169714,Medication: zotepine,binary
20003,1141169722,Medication: zoleptil 25mg tablet,binary
20003,1141169730,Medication: nifopress retard 20mg m/r tablet,binary
20003,1141169802,Medication: ketil cr 100mg m/r capsule,binary
20003,1141169808,Medication: tixymol 120mg/5ml s/f suspension,binary
20003,1141169828,Medication: sevredol 20mg/ml concentrated oral solution,binary
20003,1141169844,Medication: dexamethasone+hypromellose 0.1%/0.5% eye drops,binary
20003,1141170180,Medication: synagis 50mg injection (pdr for recon)+solvent,binary
20003,1141170182,Medication: synagis 100mg injection (pdr for recon)+solvent,binary
20003,1141170186,Medication: doxylar 50mg capsule,binary
20003,1141170264,Medication: soltamox 10mg/5ml s/f oral solution,binary
20003,1141170278,Medication: strefen 8.75mg lozenge,binary
20003,1141170456,Medication: abelcet 50mg/10ml intravenous infusion,binary
20003,1141170516,Medication: daktarin dual action 0.16% powder spray,binary
20003,1141170530,Medication: medised infant oral solution,binary
20003,1141170534,Medication: zyomet 0.75% gel,binary
20003,1141170540,Medication: strepsils cough lozenge,binary
20003,1141170544,Medication: capto-co 25mg/12.5mg tablet,binary
20003,1141170586,Medication: normasol twist topical liquid,binary
20003,1141170628,Medication: forcaltonin 100iu/1ml injection,binary
20003,1141170682,Medication: isodur 25xl m/r capsule,binary
20003,1141170768,Medication: urea 10% lotion,binary
20003,1141170770,Medication: eucerin 10% lotion,binary
20003,1141170824,Medication: flexin continus 25mg m/r tablet,binary
20003,1141170844,Medication: liquid paraffin product,binary
20003,1141170848,Medication: mercuric oxide product,binary
20003,1141170850,Medication: nitrophenol product,binary
20003,1141170866,Medication: felicium 20mg capsule,binary
20003,1141170870,Medication: pralenal 2.5mg tablet,binary
20003,1141170964,Medication: oxynorm 10mg capsule,binary
20003,1141170966,Medication: oxynorm 20mg capsule,binary
20003,1141170972,Medication: oxynorm 5mg/5ml liquid,binary
20003,1141170974,Medication: oxynorm 10mg/ml concentrate liquid,binary
20003,1141170988,Medication: podophyllotoxin product,binary
20003,1141170990,Medication: strychnine product,binary
20003,1141171002,Medication: tobi 300mg/5ml nebuliser solution,binary
20003,1141171010,Medication: lysovir 100mg capsule,binary
20003,1141171028,Medication: crixivan 333mg capsule,binary
20003,1141171032,Medication: actal pastils,binary
20003,1141171038,Medication: oxycodone hydrochloride,binary
20003,1141171048,Medication: oxycontin 10mg m/r tablet,binary
20003,1141171050,Medication: oxycontin 20mg m/r tablet,binary
20003,1141171052,Medication: oxycontin 40mg m/r tablet,binary
20003,1141171054,Medication: oxycontin 80mg m/r tablet,binary
20003,1141171066,Medication: oxynorm 5mg capsule,binary
20003,1141171100,Medication: exemestane,binary
20003,1141171104,Medication: aromasin 25mg tablet,binary
20003,1141171116,Medication: dromadol sr 100mg m/r tablet,binary
20003,1141171118,Medication: dromadol sr 150mg m/r tablet,binary
20003,1141171120,Medication: dromadol sr 200mg m/r tablet,binary
20003,1141171124,Medication: dromadol sr 75mg m/r tablet,binary
20003,1141171152,Medication: cardicor 1.25mg tablet,binary
20003,1141171242,Medication: prograf 0.5mg capsule,binary
20003,1141171336,Medication: eprosartan,binary
20003,1141171344,Medication: teveten 300mg tablet,binary
20003,1141171364,Medication: reviparin,binary
20003,1141171374,Medication: clivarine 1432iu/0.25ml prefilled syringe,binary
20003,1141171404,Medication: zaleplon,binary
20003,1141171410,Medication: sonata 5mg capsule,binary
20003,1141171428,Medication: dreemon 25mg tablet,binary
20003,1141171482,Medication: reminyl 4mg tablet,binary
20003,1141171496,Medication: trospium,binary
20003,1141171502,Medication: regurin 20mg tablet,binary
20003,1141171508,Medication: vivazide 80mg tablet,binary
20003,1141171536,Medication: ganirelix,binary
20003,1141171540,Medication: orgalutran 0.25mg/0.5ml prefilled syringe,binary
20003,1141171548,Medication: zimbacol xl 400mg m/r tablet,binary
20003,1141171562,Medication: amiclav 250mg/125mg tablet,binary
20003,1141171566,Medication: carbagen sr 200mg m/r tablet,binary
20003,1141171578,Medication: galantamine,binary
20003,1141171600,Medication: videx ec 125mg e/c capsule,binary
20003,1141171602,Medication: videx ec 200mg e/c capsule,binary
20003,1141171610,Medication: virormone 5mg/24hours transdermal patch,binary
20003,1141171612,Medication: erythromycin+tretinoin 4%/0.025% topical solution,binary
20003,1141171614,Medication: aknemycin plus solution,binary
20003,1141171646,Medication: pioglitazone,binary
20003,1141171652,Medication: actos 15mg tablet,binary
20003,1141171656,Medication: videx ec 250mg e/c capsule,binary
20003,1141171658,Medication: videx ec 400mg e/c capsule,binary
20003,1141171672,Medication: sudafed dual relief capsule,binary
20003,1141171726,Medication: xenazine 25 tablet,binary
20003,1141171730,Medication: deferiprone,binary
20003,1141171732,Medication: pegintron 50micrograms injection (pdr for recon)+solvent,binary
20003,1141171736,Medication: pegintron 80micrograms injection (pdr for recon)+solvent,binary
20003,1141171740,Medication: pegintron 100micrograms injection (pdr for recon)+solvent,binary
20003,1141171744,Medication: pegintron 120micrograms injection (pdr for recon)+solvent,binary
20003,1141171746,Medication: pegintron 150micrograms injection (pdr for recon)+solvent,binary
20003,1141171788,Medication: ferriprox 500mg tablet,binary
20003,1141171798,Medication: apo-go 20mg/2ml injection,binary
20003,1141171804,Medication: zildil sr 60mg m/r capsule,binary
20003,1141171824,Medication: thaden 25mg capsule,binary
20003,1141171932,Medication: levetiracetam,binary
20003,1141171940,Medication: keppra 250mg tablet,binary
20003,1141171948,Medication: adcal 600mg chewable tablet,binary
20003,1141172120,Medication: periostat 20mg capsule,binary
20003,1141172148,"Medication: ergocalciferol 7.5mg(300,000units)/1ml injection",binary
20003,1141172152,Medication: amprenavir,binary
20003,1141172160,Medication: agenerase 50mg capsule,binary
20003,1141172162,Medication: agenerase 150mg capsule,binary
20003,1141172164,Medication: agenerase 15mg/ml oral solution,binary
20003,1141172214,Medication: supralip 160mg m/r tablet,binary
20003,1141172224,Medication: acidex oral suspension,binary
20003,1141172238,Medication: canesten -1 500mg vaginal tablet,binary
20003,1141172240,Medication: canesten 500mg pessary,binary
20003,1141172242,Medication: viraferonpeg 120micrograms injection (pdr for recon)+solvent,binary
20003,1141172298,Medication: sst tablet,binary
20003,1141172320,Medication: the 50:50 ointment,binary
20003,1141172436,Medication: indivina 1mg/2.5mg tablet,binary
20003,1141172484,Medication: interferon alfa,binary
20003,1141172486,Medication: interferon beta,binary
20003,1141172488,Medication: interferon gamma,binary
20003,1141172492,Medication: micardis 20mg tablet,binary
20003,1141172554,Medication: feprapax 70mg tablet,binary
20003,1141172616,Medication: glatiramer,binary
20003,1141172620,Medication: copaxone 20mg injection (pdr for recon),binary
20003,1141172628,Medication: almogran 12.5mg tablet,binary
20003,1141172676,Medication: fludara 10mg tablet,binary
20003,1141172682,Medication: irbesartan+hydrochlorothiazide 150mg/12.5mg tablet,binary
20003,1141172686,Medication: coaprovel 150mg/12.5mg tablet,binary
20003,1141172698,Medication: monomax xl 60mg m/r tablet,binary
20003,1141172702,Medication: abacavir+lamivudine+zidovudine,binary
20003,1141172704,Medication: trizivir tablet,binary
20003,1141172714,Medication: climanor 5mg tablet,binary
20003,1141172722,Medication: levonelle 750micrograms tablet,binary
20003,1141172728,Medication: almotriptan,binary
20003,1141172742,Medication: syprol 5mg/5ml oral solution,binary
20003,1141172758,Medication: as saliva orthana spray,binary
20003,1141172838,Medication: depakote 250mg e/c tablet,binary
20003,1141172876,Medication: actiq 200micrograms lozenge,binary
20003,1141172878,Medication: actiq 400micrograms lozenge,binary
20003,1141172880,Medication: actiq 600micrograms lozenge,binary
20003,1141172882,Medication: actiq 800micrograms lozenge,binary
20003,1141172910,Medication: lamisil at 1% cream,binary
20003,1141172918,Medication: celluvisc 1% single-use eye drops,binary
20003,1141172924,Medication: desloratadine,binary
20003,1141172928,Medication: neoclarityn 5mg tablet,binary
20003,1141172936,Medication: actiq 1200micrograms lozenge,binary
20003,1141172938,Medication: actiq 1600micrograms lozenge,binary
20003,1141172954,Medication: linezolid,binary
20003,1141172958,Medication: zyvox 600mg tablet,binary
20003,1141172966,Medication: propain caplet,binary
20003,1141172970,Medication: zyvox 600mg/300ml infusion solution,binary
20003,1141173030,Medication: capecitabine,binary
20003,1141173034,Medication: xeloda 150mg tablet,binary
20003,1141173140,Medication: entrocalm 2mg capsule,binary
20003,1141173144,Medication: glucagen hypokit 1mg(1iu) injection,binary
20003,1141173186,Medication: pollenase antihistamine 4mg tablet,binary
20003,1141173190,Medication: rhino-syrup allergy 2mg/5ml sugar free syrup,binary
20003,1141173202,Medication: ranzac 75mg tablet,binary
20003,1141173212,Medication: benadryl plus capsule,binary
20003,1141173222,Medication: viraferonpeg 150micrograms injection (pdr for recon)+solvent,binary
20003,1141173292,Medication: histergan 2% cream,binary
20003,1141173328,Medication: ursodeoxycholic acid,binary
20003,1141173342,Medication: folinic acid,binary
20003,1141173346,Medication: cortisone,binary
20003,1141173348,Medication: hydroxocobalamin,binary
20003,1141173406,Medication: tegafur+uracil,binary
20003,1141173410,Medication: uftoral 100mg/224mg capsule,binary
20003,1141173416,Medication: histergan 25mg tablet,binary
20003,1141173430,Medication: do-do chesteze tablet,binary
20003,1141173434,Medication: tixycolds syrup,binary
20003,1141173444,Medication: dulco-lax 2.5mg perles,binary
20003,1141173504,Medication: pennsaid 1.5% topical solution,binary
20003,1141173524,Medication: povidone mouthwash,binary
20003,1141173526,Medication: polyvinylpyrrolidone mouthwash,binary
20003,1141173528,Medication: aloclair mouthwash,binary
20003,1141173532,Medication: polyvinylpyrrolidone,binary
20003,1141173534,Medication: povidone+sodium hyaluronate oral gel,binary
20003,1141173536,Medication: gelclair 15ml/sachet oral gel,binary
20003,1141173572,Medication: night nurse oral solution,binary
20003,1141173574,Medication: night nurse capsule,binary
20003,1141173616,Medication: robitussin dry cough medicine liquid,binary
20003,1141173638,Medication: polyvinylpyrrolidone+sodium hyaluronate oral gel,binary
20003,1141173698,Medication: ranclav 375mg tablet,binary
20003,1141173700,Medication: ranclav 625mg tablet,binary
20003,1141173702,Medication: ranclav 125mg/31mg s/f suspension,binary
20003,1141173760,Medication: ranclav 250mg/62mg s/f suspension,binary
20003,1141173766,Medication: calchan mr 10mg m/r tablet,binary
20003,1141173770,Medication: histac 150mg tablet,binary
20003,1141173776,Medication: ebretin 200mg capsule,binary
20003,1141173786,Medication: starlix 60mg tablet,binary
20003,1141173798,Medication: aerodiol 150micrograms nasal spray,binary
20003,1141173814,Medication: zoledronic acid,binary
20003,1141173872,Medication: cetraben cream,binary
20003,1141173882,Medication: nateglinide,binary
20003,1141173888,Medication: xismox xl 60 m/r tablet,binary
20003,1141173902,Medication: vivioptal capsule,binary
20003,1141173910,Medication: lopinavir+ritonavir,binary
20003,1141173916,Medication: kaletra 133.3mg/33.3mg capsule,binary
20003,1141173918,Medication: kaletra 400mg/100mg/5ml oral solution,binary
20003,1141173926,Medication: sirolimus,binary
20003,1141173956,Medication: oilatum junior cream,binary
20003,1141173960,Medication: itraconazole 250mg/25ml infusion concentrate,binary
20003,1141173962,Medication: sporanox iv 250mg/25ml infusion concentrate,binary
20003,1141174032,Medication: doublebase gel,binary
20003,1141174262,Medication: otrivine mu-cron tablet,binary
20003,1141174388,Medication: calcitriol,binary
20003,1141174424,Medication: solaraze 3% gel,binary
20003,1141174444,Medication: multi-action actifed tablet,binary
20003,1141174450,Medication: multi-action actifed dry coughs linctus,binary
20003,1141174500,Medication: sibutramine,binary
20003,1141174508,Medication: reductil 10mg capsule,binary
20003,1141174512,Medication: budesonide+eformoterol,binary
20003,1141174520,Medication: symbicort 100/6 turbohaler,binary
20003,1141174548,Medication: dexamethasone+tobramycin,binary
20003,1141174552,Medication: tobradex eye drops,binary
20003,1141174582,Medication: bifonazole,binary
20003,1141174586,Medication: bifonazole 1% cream,binary
20003,1141174588,Medication: canesten af once daily bifonazole 1% cream,binary
20003,1141174684,Medication: zemret 180 xl m/r capsule,binary
20003,1141174712,Medication: uprima 2mg sublingual tablet,binary
20003,1141174718,Medication: cibral 10mg tablet,binary
20003,1141174756,Medication: oxactin 20mg capsule,binary
20003,1141175192,Medication: sevelamer,binary
20003,1141175196,Medication: renagel 403mg capsule,binary
20003,1141175200,Medication: medocodene 30/500 capsule,binary
20003,1141175204,Medication: oxcarbazepine,binary
20003,1141175212,Medication: trileptal 150 tablet,binary
